Suburb,Address,Rooms,Type,Price,Distance,Bedroom,CouncilArea,Lattitude,Longtitude
ASHWOOD,1/16 Raymond St,3,t,900500,12.2,3,Monash City Council,-37.8655,145.1096
ASHWOOD,4 Newbury Ct,3,h,1200000,12.2,3,Monash City Council,-37.8614,145.1098
ASHWOOD,2/53 Salisbury Rd,3,t,830000,12.2,2,Monash City Council,-37.8723,145.1089
BRIGHTON,802 Hampton St,3,h,1550000,11.2,3,Bayside City Council,-37.9159,145.0068
BRIGHTON,18 Rooding St,3,h,1635000,11.2,3,Bayside City Council,-37.9038,145.0001
BRIGHTON,152A Cochrane St,4,h,1830000,11.2,4,Bayside City Council,-37.8927,145.0005
BRIGHTON,17 McCallum St,4,h,3695000,11.2,4,Bayside City Council,-37.9071,144.9898
BRIGHTON,2/26 Pearson St,2,u,536000,11.2,2,Bayside City Council,-37.9081,145.0043
BRIGHTON,18 Victoria St,4,h,3700000,11.2,4,Bayside City Council,-37.914,144.9878
BRIGHTON,20 Victoria St,4,h,3775000,11.2,4,Bayside City Council,-37.9139,144.9878
BRIGHTON,50 Well St,3,h,1975000,11.2,3,Bayside City Council,-37.9172,144.996
BRIGHTON,1/137 Cole St,2,u,1300000,11.2,2,Bayside City Council,-37.8954,145.0026
BRIGHTON,4/78 Dendy St,3,h,1390000,11.2,3,Bayside City Council,-37.9205,145.0007
BRIGHTON,11 Foote St,4,h,4250000,11.2,4,Bayside City Council,-37.8966,144.993
BRIGHTON,133 Head St,4,h,2905000,11.2,4,Bayside City Council,-37.8926,144.9991
BRIGHTON,1/112 Roslyn St,2,u,1300000,11.2,2,Bayside City Council,-37.9172,145.004
BRIGHTON,1/119 Roslyn St,3,t,1725000,11.2,3,Bayside City Council,-37.918,145.0035
BRIGHTON,15 Whyte St,3,h,2266000,11.2,3,Bayside City Council,-37.9243,144.9989
BRIGHTON,23 Albert St,4,h,2910000,11.2,4,Bayside City Council,-37.9136,144.9886
BRIGHTON,30 Barkly St,3,h,2100000,11.2,3,Bayside City Council,-37.9082,144.9968
BRIGHTON,111 Carpenter St,6,h,2700000,11.2,6,Bayside City Council,-37.9081,145.0015
BRIGHTON,3/78 William St,2,u,800000,11.2,2,Bayside City Council,-37.9122,145.0038
BRIGHTON,1/97 Wilson St,3,t,1750000,11.2,3,Bayside City Council,-37.9139,145.0035
BRIGHTON,124 Cole St,4,h,1761000,11.2,4,Bayside City Council,-37.8956,145.0026
BRIGHTON,1a Mair St,3,h,2600000,11.2,3,Bayside City Council,-37.9287,144.992
BRIGHTON,24b Munro St,3,h,1302500,11.2,3,Bayside City Council,-37.9166,144.9942
BRIGHTON,17 New St,3,h,1900000,11.2,3,Bayside City Council,-37.9301,144.9935
BRIGHTON,74 Carpenter St,5,h,2750000,11.2,4,Bayside City Council,-37.9118,144.9984
BRIGHTON,4/149 Church St,2,u,892500,11.2,2,Bayside City Council,-37.9157,144.9973
BRIGHTON,120 Cole St,4,h,2145000,11.2,3,Bayside City Council,-37.8954,145.0017
BRIGHTON,15 Hanby St,5,h,3171000,11.2,4,Bayside City Council,-37.9241,145.0008
BRIGHTON,2 View Ct,2,h,1910000,11.2,2,Bayside City Council,-37.9249,144.9903
BRIGHTON,36a Warleigh Gr,3,t,1850000,11.2,3,Bayside City Council,-37.9045,145.0043
BRIGHTON,1/5 Webb St,3,t,1067000,11.2,3,Bayside City Council,-37.9119,144.9871
BRIGHTON,72 William St,3,h,1865000,11.2,3,Bayside City Council,-37.9119,145.0037
BRIGHTON,105/103 Bay St,2,u,620000,11.2,2,Bayside City Council,-37.9042,144.9954
BRIGHTON,30a Rooding St,2,u,985000,11.2,2,Bayside City Council,-37.9039,145.0009
BRIGHTON,2/422 St Kilda St,3,t,1475000,11.2,3,Bayside City Council,-37.8943,144.9907
BRIGHTON,5 Davie La,2,h,502000,11.2,2,Bayside City Council,-37.9252,145.0004
BRIGHTON,1/17 Tennyson St,2,u,700000,11.2,2,Bayside City Council,-37.9225,144.9891
BRIGHTON,15 Gould St,3,h,2400000,11.2,3,Bayside City Council,-37.9225,144.991
BRIGHTON,2/42 Grosvenor St,2,u,590000,11.2,2,Bayside City Council,-37.9097,144.9914
BRIGHTON,1/10 Manor St,3,h,1650000,11.2,3,Bayside City Council,-37.9174,144.9895
BRIGHTON,176 Were St,5,h,1562500,11.2,5,Bayside City Council,-37.9264,145.0044
BRIGHTON,2 Campbell St,3,h,2050000,11.2,3,Bayside City Council,-37.899,144.9901
BRIGHTON,115 Dendy St,4,h,3180000,11.2,4,Bayside City Council,-37.9206,145.0051
BRIGHTON,640B Hampton St,2,t,960000,11.2,2,Bayside City Council,-37.9275,145.0046
BRIGHTON,73 Martin St,4,h,3320000,11.2,4,Bayside City Council,-37.8964,144.9972
BRIGHTON,297 New St,4,h,2800000,11.2,4,Bayside City Council,-37.9059,144.9927
BRIGHTON,3/24 South Rd,3,u,1602000,11.2,3,Bayside City Council,-37.9288,144.9954
BRIGHTON,6/4 Dudley St,2,u,1300000,11.2,2,Bayside City Council,-37.9012,144.9878
BRIGHTON,1/16 Black St,2,u,1100000,11.2,2,Bayside City Council,-37.9131,144.995
BRIGHTON,5 Bridge St,3,h,1650000,11.2,3,Bayside City Council,-37.8916,145.0017
BRIGHTON,11a Elm Gr,2,h,1102000,11.2,2,Bayside City Council,-37.9011,145.0011
BRIGHTON,8/42 Grosvenor St,2,u,575000,11.2,2,Bayside City Council,-37.9097,144.9914
BRIGHTON,28 Loller St,2,h,1570000,11.2,2,Bayside City Council,-37.9154,145.001
BRIGHTON,2/5 Loller St,3,t,1411000,11.2,3,Bayside City Council,-37.9144,145.0004
BRIGHTON,9 Sussex St,5,h,4700000,11.2,5,Bayside City Council,-37.918,144.9911
BRIGHTON,40 Whyte St,3,h,1785000,11.2,3,Bayside City Council,-37.9228,144.9996
BRIGHTON,44 William St,2,h,1550000,11.2,2,Bayside City Council,-37.9104,145.002
BRIGHTON,7 Chavasse St,3,h,1875000,11.2,3,Bayside City Council,-37.9153,144.9924
BRIGHTON,46 Head St,4,h,2400000,11.2,4,Bayside City Council,-37.892,144.9918
BRIGHTON,4/23 South Rd,3,u,1266000,11.2,3,Bayside City Council,-37.9268,144.991
BRIGHTON,1/105 Cochrane St,3,u,826000,11.2,3,Bayside City Council,-37.8958,144.9994
BRIGHTON,97 Dendy St,5,h,2730000,11.2,5,Bayside City Council,-37.9204,145.0028
BRIGHTON,1/191 New St,2,u,900000,11.2,2,Bayside City Council,-37.914,144.9914
BRIGHTON,55 Whyte St,3,t,1962000,11.2,3,Bayside City Council,-37.9208,144.9996
BRIGHTON,95 Cochrane St,4,h,3295888,11.2,4,Bayside City Council,-37.8975,144.9991
BRIGHTON,6/138 New St,1,u,375000,11.2,1,Bayside City Council,-37.9181,144.993
BRIGHTON,8/35 Normanby St,2,u,756000,11.2,2,Bayside City Council,-37.9112,144.9909
BRIGHTON,2/61 Black St,2,u,800000,11.2,2,Bayside City Council,-37.9164,145.0002
BRIGHTON,31 Orchard St,5,h,2100000,11.2,5,Bayside City Council,-37.9012,144.997
BRIGHTON,45 Black St,3,h,1500000,11.2,3,Bayside City Council,-37.9158,144.9984
BRIGHTON,1/12 Burrows St,2,u,905500,11.2,2,Bayside City Council,-37.9188,144.9942
BRIGHTON,22 Champion St,3,h,2375000,11.2,4,Bayside City Council,-37.9271,145.0034
BRIGHTON,6 Hamilton St,3,h,2275000,11.2,3,Bayside City Council,-37.8965,145.0022
BRIGHTON,679 Hampton St,3,h,1385000,11.2,3,Bayside City Council,-37.9254,145.0045
BRIGHTON,160 New St,2,h,1601000,11.2,2,Bayside City Council,-37.9166,144.9926
BRIGHTON,89 South Rd,3,h,2020000,11.2,5,Bayside City Council,-37.9284,144.9986
BRIGHTON,8 Southey St,3,t,1762000,11.2,3,Bayside City Council,-37.9075,145.0064
BRIGHTON,1A Baker St,3,h,2450000,11.2,3,Bayside City Council,-37.912,144.9994
BRIGHTON,4/14 Brickwood St,2,u,858000,11.2,2,Bayside City Council,-37.8958,144.9982
BRIGHTON,2/72 Dendy St,3,t,1427000,11.2,3,Bayside City Council,-37.9206,145
BRIGHTON,15 Loller St,3,t,2517500,11.2,3,Bayside City Council,-37.9148,145.0009
BRIGHTON,12 May St,4,h,2800000,11.2,4,Bayside City Council,-37.8962,145.0011
BRIGHTON,82 New St,5,h,3700000,11.2,4,Bayside City Council,-37.9233,144.9944
BRIGHTON,33 Burrows St,3,h,1410000,11.2,3,Bayside City Council,-37.9175,144.9949
BRIGHTON,823 Hampton St,4,h,2475000,11.2,4,Bayside City Council,-37.916,145.0064
BRIGHTON,64 North Rd,4,h,2700000,11.2,4,Bayside City Council,-37.8987,144.9953
BRIGHTON,5/18 William St,3,u,1005000,11.2,3,Bayside City Council,-37.909,145.0005
BRIGHTON,66 Champion St,4,h,3900000,11.2,4,Bayside City Council,-37.9227,145.0043
BRIGHTON,10/32 Loller St,2,u,610000,11.2,2,Bayside City Council,-37.9156,145.0013
BRIGHTON,3/61 Martin St,3,u,880000,11.2,3,Bayside City Council,-37.896,144.9957
BRIGHTON,5/22 Well St,2,u,737000,11.2,3,Bayside City Council,-37.9159,144.9936
BRIGHTON,33a Durrant St,2,h,1532000,11.2,2,Bayside City Council,-37.9095,145.004
BRIGHTON,48 Were St,3,u,1250000,11.2,3,Bayside City Council,-37.9249,144.9928
BRIGHTON,3/18 William St,3,u,835000,11.2,3,Bayside City Council,-37.909,145.0005
BRIGHTON,35 Champion St,3,h,2320000,11.2,3,Bayside City Council,-37.9253,145.0034
BRIGHTON,112 Asling St,4,h,2000000,11.2,4,Bayside City Council,-37.8956,145.0037
BRIGHTON,114A Bay St,2,t,1230000,11.2,2,Bayside City Council,-37.905,144.9959
BRIGHTON,7 Carpenter St,3,h,2375000,11.2,3,Bayside City Council,-37.9152,144.993
BRIGHTON,147A Male St,2,t,1037000,11.2,2,Bayside City Council,-37.9078,145.0051
BRIGHTON,119 North Rd,4,h,3050000,11.2,4,Bayside City Council,-37.8989,145.0008
BRIGHTON,2/71 Roslyn St,4,t,1630000,11.2,4,Bayside City Council,-37.9228,145.0022
BRIGHTON,59 William St,2,h,1701000,11.2,2,Bayside City Council,-37.9118,145.0041
BRIGHTON,4/95 Wilson St,2,u,760000,11.2,2,Bayside City Council,-37.914,145.003
BRIGHTON,58 Champion St,4,h,2640000,11.2,4,Bayside City Council,-37.9234,145.0042
BRIGHTON,6/30 Boxshall St,2,u,850000,11.2,2,Bayside City Council,-37.9116,144.9978
BRIGHTON,3/198 Church St,1,u,671000,11.2,1,Bayside City Council,-37.9194,145.0003
BRIGHTON,686A Hampton St,4,t,2250000,11.2,4,Bayside City Council,-37.9237,145.0056
BRIGHTON,3A Huntingfield Rd,3,h,2900000,11.2,3,Bayside City Council,-37.919,144.9953
BRIGHTON,6c Lindsay St,3,u,1620000,11.2,3,Bayside City Council,-37.9121,144.9953
BRIGHTON,7 Wilson St,3,h,3550000,11.2,3,Bayside City Council,-37.9097,144.9981
BRIGHTON,57 Bay St,4,h,2750000,11.2,4,Bayside City Council,-37.904,144.9919
BRIGHTON,11 Butler St,5,h,3751000,11.2,3,Bayside City Council,-37.921,144.9966
BRIGHTON,3a Cowra St,3,t,1425000,11.2,3,Bayside City Council,-37.9049,145.0069
BRIGHTON,21 Wolseley Gr,4,h,2405000,11.2,4,Bayside City Council,-37.9262,144.9969
BRIGHTON,23a Chelsea St,3,u,1352500,11.2,2,Bayside City Council,-37.91,144.989
BRIGHTON,8 Dendy St,3,h,2030000,11.2,4,Bayside City Council,-37.9193,144.9898
BRIGHTON,86 Dendy St,5,h,3105000,11.2,4,Bayside City Council,-37.9205,145.0012
BRIGHTON,4/34 Elwood St,3,h,1171000,11.2,3,Bayside City Council,-37.9002,144.9928
BRIGHTON,2 Gatehouse Pl,2,t,1400000,11.2,2,Bayside City Council,-37.9159,144.9933
BRIGHTON,46 Roslyn St,3,h,1600000,11.2,3,Bayside City Council,-37.9241,145.0028
BRIGHTON,17 Rusden St,4,h,1500000,11.2,3,Bayside City Council,-37.8869,144.9982
BRIGHTON EAST,7 Balfour St,4,h,1940000,10.7,4,Bayside City Council,-37.9205,145.0122
BRIGHTON EAST,4 Marriage Rd,4,h,1850000,10.7,4,Bayside City Council,-37.9187,145.007
BRIGHTON EAST,244a South Rd,3,h,930000,10.7,3,Bayside City Council,-37.9317,145.0218
BRIGHTON EAST,133A Centre Rd,4,h,1310000,10.7,4,Bayside City Council,-37.9162,145.0219
BRIGHTON EAST,26 Hodder St,2,h,1250000,10.7,2,Bayside City Council,-37.9077,145.0229
BRIGHTON EAST,14 Milroy St,4,h,2504000,10.7,4,Bayside City Council,-37.9022,145.0125
BRIGHTON EAST,5/29 Pine St,2,u,700000,10.7,2,Bayside City Council,-37.9195,145.0067
BRIGHTON EAST,1/383 South Rd,2,u,750000,10.7,2,Bayside City Council,-37.9318,145.0293
BRIGHTON EAST,22A Camperdown St,3,t,1302500,10.7,3,Bayside City Council,-37.9179,145.0091
BRIGHTON EAST,67 Centre Rd,2,h,1445000,10.7,2,Bayside City Council,-37.9153,145.0142
BRIGHTON EAST,16a Billson St,2,h,980000,10.7,3,Bayside City Council,-37.917,145.0137
BRIGHTON EAST,5 Florence St,4,h,1495000,10.7,4,Bayside City Council,-37.9179,145.019
BRIGHTON EAST,12 Meyer Ct,4,h,1825000,10.7,4,Bayside City Council,-37.9029,145.0118
BRIGHTON EAST,13 Robinson St,5,h,1700000,10.7,4,Bayside City Council,-37.9187,145.0187
BRIGHTON EAST,109 Thomas St,5,h,1400000,10.7,4,Bayside City Council,-37.9091,145.0245
BRIGHTON EAST,12 Thomas St,3,h,1075000,10.7,3,Bayside City Council,-37.9179,145.0232
BRIGHTON EAST,60 Baird St,3,h,1860000,10.7,3,Bayside City Council,-37.9241,145.0125
BRIGHTON EAST,80 Marriage Rd,3,h,1500000,10.7,3,Bayside City Council,-37.9199,145.0174
BRIGHTON EAST,2/10 Vincent St,3,t,870000,10.7,3,Bayside City Council,-37.9271,145.0281
BRIGHTON EAST,16 Alford St,4,h,2000000,10.7,4,Bayside City Council,-37.9117,145.0093
BRIGHTON EAST,11 Billson St,3,h,1400000,10.7,3,Bayside City Council,-37.9177,145.0143
BRIGHTON EAST,60 Cummins Rd,3,h,1300000,10.7,3,Bayside City Council,-37.927,145.0267
BRIGHTON EAST,15 Hodder St,5,h,1600000,10.7,5,Bayside City Council,-37.9084,145.0221
BRIGHTON EAST,5 Margaret St,2,h,1780000,10.7,4,Bayside City Council,-37.9205,145.0102
BRIGHTON EAST,375 South Rd,5,h,1200000,10.7,5,Bayside City Council,-37.932,145.0284
BRIGHTON EAST,16/373 South Rd,2,u,775000,10.7,2,Bayside City Council,-37.9306,145.0284
BRIGHTON EAST,4 Vincent St,3,h,1480000,10.7,3,Bayside City Council,-37.9269,145.0274
BRIGHTON EAST,4 Chapman St,5,h,2900000,10.7,5,Bayside City Council,-37.928,145.0095
BRIGHTON EAST,299 South Rd,3,h,1590000,10.7,3,Bayside City Council,-37.931,145.0198
BRIGHTON EAST,13 Hornby St,4,h,2840000,10.7,5,Bayside City Council,-37.9135,145.0189
BRIGHTON EAST,10 MacKie Gr,3,h,1580000,10.7,4,Bayside City Council,-37.9085,145.0201
BRIGHTON EAST,3 Raymond Ct,4,t,1100000,10.7,4,Bayside City Council,-37.9317,145.0294
BRIGHTON EAST,48 Thomas St,2,h,1000000,10.7,2,Bayside City Council,-37.9143,145.0238
BRIGHTON EAST,1 Arnot St,5,h,2500000,10.7,5,Bayside City Council,-37.9126,145.013
BRIGHTON EAST,14 Holmhurst Ct,4,h,1700000,10.7,4,Bayside City Council,-37.9299,145.015
BRIGHTON EAST,24 Moore St,3,h,1405000,10.7,3,Bayside City Council,-37.9024,145.0097
BRIGHTON EAST,355 Nepean Hwy,3,h,1290000,10.7,3,Bayside City Council,-37.9045,145.0082
BRIGHTON EAST,92 Thomas St,5,h,3207000,10.7,5,Bayside City Council,-37.9102,145.0245
BRIGHTON EAST,2/19 Hemming St,3,u,880000,10.7,3,Bayside City Council,-37.9308,145.0316
BRIGHTON EAST,200 South Rd,4,h,1920000,10.7,4,Bayside City Council,-37.931,145.0163
BRIGHTON EAST,1 Alexander St,3,h,1301000,10.7,3,Bayside City Council,-37.9062,145.0173
BRIGHTON EAST,23 Camperdown St,4,t,2570000,10.7,4,Bayside City Council,-37.9176,145.0087
BRIGHTON EAST,50 Lucas St,5,h,2550000,10.7,5,Bayside City Council,-37.9231,145.0104
BRIGHTON EAST,3 Carrington Gr,5,h,1915000,10.7,5,Bayside City Council,-37.9175,145.0116
BRIGHTON EAST,139 Thomas St,4,h,1650000,10.7,5,Bayside City Council,-37.9075,145.0248
BRIGHTON EAST,4a Marriage Rd,4,h,1530000,10.7,2,Bayside City Council,-37.9187,145.0071
BRIGHTON EAST,609 Nepean Hwy,2,h,805000,10.7,2,Bayside City Council,-37.9137,145.0164
BRIGHTON EAST,55 Baird St,4,h,2050000,10.7,4,Bayside City Council,-37.9255,145.0118
BRIGHTON EAST,25 Camperdown St,5,h,2550000,10.7,5,Bayside City Council,-37.9176,145.009
BRIGHTON EAST,2/5 Camperdown St,2,u,905000,10.7,2,Bayside City Council,-37.9172,145.0072
BRIGHTON EAST,9a Elizabeth St,3,h,1355000,10.7,3,Bayside City Council,-37.9057,145.0166
BRIGHTON EAST,4 Farmer St,2,h,1845000,10.7,2,Bayside City Council,-37.9268,145.0094
BRIGHTON EAST,7a Robinson St,5,h,1760000,10.7,5,Bayside City Council,-37.919,145.0194
BRIGHTON EAST,7 Tuxen Ct,5,h,2050000,10.7,5,Bayside City Council,-37.9289,145.0284
BRIGHTON EAST,6 Balfour St,3,h,1620000,10.7,3,Bayside City Council,-37.9208,145.0126
BRIGHTON EAST,2/111 Thomas St,3,t,940000,10.7,3,Bayside City Council,-37.9089,145.0246
BRIGHTON EAST,38 Agnew St,3,h,1710000,10.7,4,Bayside City Council,-37.91,145.0113
BRIGHTON EAST,36 Billson St,3,h,1800000,10.7,3,Bayside City Council,-37.9185,145.0138
BRIGHTON EAST,29 Cluden St,4,h,1706000,10.7,3,Bayside City Council,-37.9126,145.011
BRIGHTON EAST,1/2 Robinson St,3,t,1300000,10.7,3,Bayside City Council,-37.9196,145.0205
BRIGHTON EAST,7/87 Thomas St,2,u,770000,10.7,2,Bayside City Council,-37.911,145.0236
BRIGHTON EAST,27 Arnold Rd,4,h,2200000,10.7,4,Bayside City Council,-37.9292,145.0236
BRIGHTON EAST,155 Dendy St,3,h,1400000,10.7,3,Bayside City Council,-37.9213,145.0111
BRIGHTON EAST,4 Hansen St,3,h,900000,10.7,3,Bayside City Council,-37.9215,145.0227
BRIGHTON EAST,25 Robinson St,4,h,2150000,10.7,4,Bayside City Council,-37.9186,145.0175
BRIGHTON EAST,206 South Rd,4,h,1725000,10.7,4,Bayside City Council,-37.9311,145.0169
BRIGHTON EAST,30 Studley Rd,4,h,1755000,10.7,4,Bayside City Council,-37.9292,145.0252
BRIGHTON EAST,25 Agnew St,4,h,1650000,10.7,4,Bayside City Council,-37.9111,145.0108
BRIGHTON EAST,18 Curzon St,4,h,1720000,10.7,2,Bayside City Council,-37.9198,145.0137
BRIGHTON EAST,1 Marriage Rd,4,h,1815000,10.7,4,Bayside City Council,-37.9184,145.007
BRIGHTON EAST,6 Murray St,5,h,1450000,10.7,5,Bayside City Council,-37.9061,145.0238
BRIGHTON EAST,4/2 Hornby St,1,t,681000,10.7,2,Bayside City Council,-37.9159,145.019
BRIGHTON EAST,16b Regent St,3,t,1511000,10.7,2,Bayside City Council,-37.9237,145.0075
BRIGHTON EAST,8 Thomas St,2,h,1310000,10.7,4,Bayside City Council,-37.9182,145.0231
BRIGHTON EAST,6/141 Centre Rd,1,u,340000,10.7,1,Bayside City Council,-37.9164,145.0228
BRIGHTON EAST,35 Elizabeth St,3,h,1537000,10.7,3,Bayside City Council,-37.9034,145.017
BRIGHTON EAST,39 Ferguson St,3,h,1100000,10.7,3,Bayside City Council,-37.9108,145.0121
BRIGHTON EAST,313 Nepean Hwy,2,h,994000,10.7,2,Bayside City Council,-37.9013,145.0072
BRIGHTON EAST,7 Valdemar Ct,4,h,1447000,10.7,4,Bayside City Council,-37.9286,145.0274
BRIGHTON EAST,3/127 Dendy St,2,u,692000,10.7,2,Bayside City Council,-37.9207,145.0079
BRIGHTON EAST,2/21 Hodder St,4,t,1367000,10.7,4,Bayside City Council,-37.9078,145.0222
BRIGHTON EAST,2/33 Cluden St,2,u,903000,10.7,2,Bayside City Council,-37.9125,145.0114
BRIGHTON EAST,9 Montgomery St,4,h,2820000,10.7,4,Bayside City Council,-37.9172,145.0214
BRIGHTON EAST,11 Summerhill Rd,2,h,1813000,10.7,2,Bayside City Council,-37.9179,145.0127
BRIGHTON EAST,5 Tuxen Ct,5,h,1655000,10.7,5,Bayside City Council,-37.9291,145.0283
BRIGHTON EAST,5 Arnot St,3,t,1230000,10.7,3,Bayside City Council,-37.9124,145.0132
BRIGHTON EAST,4 Bruce St,4,h,1389000,10.7,4,Bayside City Council,-37.9027,145.0225
BRIGHTON EAST,3/44 Union St,2,u,750000,10.7,2,Bayside City Council,-37.9085,145.0129
BRIGHTON EAST,3/23 Walstab St,3,u,1245000,10.7,3,Bayside City Council,-37.9191,145.0074
BRIGHTON EAST,214 Were St,4,h,2310000,10.7,4,Bayside City Council,-37.9266,145.0088
BRIGHTON EAST,54 Regent St,3,t,1420000,10.7,3,Bayside City Council,-37.9241,145.0108
BRIGHTON EAST,4/141 Centre Rd,2,u,563000,10.7,2,Bayside City Council,-37.9164,145.0228
BRIGHTON EAST,2a Hurlstone St,2,t,1014000,10.7,2,Bayside City Council,-37.9055,145.0173
BURWOOD,15 Loudon Rd,5,h,1590000,11.7,4,Monash City Council,-37.848,145.098
BURWOOD,4 Bennett St,3,h,1390000,11.7,3,Monash City Council,-37.851,145.1169
BURWOOD,7 Keogh St,3,h,1300000,11.7,3,Monash City Council,-37.8562,145.1104
BURWOOD,35 McCubbin St,4,h,1890000,11.7,4,Monash City Council,-37.8538,145.127
BURWOOD,2/32 McIntyre St,3,u,1022500,11.7,3,Monash City Council,-37.8516,145.1056
BURWOOD,1 Webb St,3,h,1250000,11.7,3,Monash City Council,-37.8561,145.1054
BURWOOD,163 Highbury Rd,3,h,1151000,11.7,3,Monash City Council,-37.8551,145.1121
BURWOOD,30 Station St,3,h,1755000,11.7,3,Monash City Council,-37.854,145.1195
BURWOOD,1/109 Station St,3,u,686000,11.7,3,Monash City Council,-37.8473,145.1203
BURWOOD,2 Elgar Rd,3,h,1300000,11.7,3,Monash City Council,-37.8489,145.1093
BURWOOD,48 Station St,3,h,1160000,11.7,3,Monash City Council,-37.8525,145.1198
BURWOOD,7 Wattlebird Ct,4,h,2000000,11.7,4,Monash City Council,-37.842,145.102
BURWOOD,1/14 Corrigan St,3,h,790000,11.7,3,Monash City Council,-37.8544,145.1114
BURWOOD,25 Greenwood St,4,h,1682000,11.7,4,Monash City Council,-37.8494,145.1291
BURWOOD,14/1 Conservatory Dr,3,u,625000,11.7,3,Monash City Council,-37.8561,145.0962
BURWOOD,2/22 Scott Gr,3,t,780000,11.7,3,Monash City Council,-37.8525,145.0973
BURWOOD,2 Bennett St,3,h,1342000,11.7,3,Monash City Council,-37.8509,145.117
BURWOOD,12 Havelock St,4,h,1782800,11.7,4,Monash City Council,-37.8516,145.1179
BURWOOD,3 Peacock St,3,h,1468000,11.7,3,Monash City Council,-37.8509,145.1161
BURWOOD,1/10 McComas Gr,2,u,650000,11.7,2,Monash City Council,-37.8509,145.1119
BURWOOD,1/34 Cumming St,5,h,1060000,11.7,4,Monash City Council,-37.8528,145.1129
BURWOOD,33 Brockhoff Dr,4,h,1255000,11.7,4,Monash City Council,-37.8599,145.1101
BURWOOD,229 Highbury Rd,4,h,900000,11.7,3,Monash City Council,-37.856,145.1196
BURWOOD,2a Iris St,2,h,633000,11.7,2,Monash City Council,-37.8454,145.0971
BURWOOD,5 Keogh St,3,h,1070500,11.7,3,Monash City Council,-37.856,145.1104
BURWOOD,22 Andrews St,3,h,1175000,11.7,3,Monash City Council,-37.8495,145.1282
BURWOOD,24 Wallace Rd,3,h,1521000,11.7,3,Monash City Council,-37.8474,145.0988
BURWOOD,29 Meldan St,2,h,1350000,11.7,2,Monash City Council,-37.8444,145.1054
BURWOOD,1/392 Burwood Hwy,3,t,752000,11.7,4,Monash City Council,-37.8522,145.1312
BURWOOD,1/46 Gillard St,3,h,570000,11.7,3,Monash City Council,-37.8542,145.1138
BURWOOD,10 Hastings St,3,h,1460000,11.7,3,Monash City Council,-37.8529,145.0962
BURWOOD,2/3 Havelock St,3,t,745000,11.7,3,Monash City Council,-37.8521,145.1187
BURWOOD,4 Iris St,5,h,2150000,11.7,5,Monash City Council,-37.8454,145.0974
