Suburb,Address,Rooms,Type,Price,Distance,Bedroom2,CouncilArea,Lattitude,Longtitude
ASHWOOD,1/16 Raymond St,3,t,900500,12.2,3,Monash City Council,-37.8655,145.1096
ASHWOOD,4 Newbury Ct,3,h,1200000,12.2,3,Monash City Council,-37.8614,145.1098
ASHWOOD,2/53 Salisbury Rd,3,t,830000,12.2,2,Monash City Council,-37.8723,145.1089
ASHWOOD,5 Harcourt St,2,h,1495000,12.2,2,Monash City Council,-37.8683,145.1064
ASHWOOD,217 Huntingdale Rd,4,h,1126000,12.2,4,Monash City Council,-37.8696,145.1111
ASHWOOD,1/7 Queens Pde,2,u,822000,12.2,2,Monash City Council,-37.8677,145.0981
ASHWOOD,3/5 Yunki Ct,2,t,770000,12.2,2,Monash City Council,-37.871,145.0994
ASHWOOD,2/5 Parkhill Dr,3,u,890000,12.2,3,Monash City Council,-37.8625,145.1083
ASHWOOD,4 Wippa Ct,3,h,1225000,10.2,3,Monash City Council,-37.87257,145.09782
ASHWOOD,47 Ashwood Dr,4,h,1680000,10.2,4,Monash City Council,-37.85842,145.10288
ASHWOOD,2 Julie Ct,3,h,1650000,10.2,3,Monash City Council,-37.86572,145.09763
ASHWOOD,2/7 Murra Ct,3,h,860000,10.2,3,Monash City Council,-37.87105,145.10198
ASHWOOD,4 Moore St,4,h,1425000,10.2,4,Monash City Council,-37.86301,145.11159
ASHWOOD,10 Kiewa St,3,h,1420000,10.2,3,Monash City Council,-37.86173,145.11074
ASHWOOD,5 Kiewa St,4,h,1450000,10.2,4,Monash City Council,-37.86162,145.11042
ASHWOOD,47B Vannam Dr,3,t,1060000,10.2,3,Monash City Council,-37.86324,145.10289
ASHWOOD,7 Barrington Dr,4,h,1540000,10.2,4,Monash City Council,-37.86096,145.10026
ASHWOOD,33 Douglas St,3,h,1575000,10.2,3,Monash City Council,-37.86394,145.09702
ASHWOOD,25 George St,4,h,1516000,10.2,4,Monash City Council,-37.86291,145.09644
ASHWOOD,11a Montrose St,3,u,987000,10.2,3,Monash City Council,-37.86906,145.0942
ASHWOOD,13 Maroondah Rd,5,h,2100000,10.2,5,Monash City Council,-37.86486,145.1113
ASHWOOD,16 Winbirra Pde,2,h,1167500,10.2,2,Monash City Council,-37.86824,145.10136
ASHWOOD,17 Woolert St,3,u,896000,10.2,3,Monash City Council,-37.87027,145.10231
ASHWOOD,54 Cassinia Av,2,h,1200000,10.2,2,Monash City Council,-37.86535,145.10726
ASHWOOD,8 Condah Ct,3,h,1183000,10.2,3,Monash City Council,-37.86971,145.11068
ASHWOOD,28 Carlyle St,4,h,1360000,10.2,4,Monash City Council,-37.86138,145.09694
ASHWOOD,9 Katta Ct,3,h,1350000,10.2,3,Monash City Council,-37.8707,145.10363
ASHWOOD,56 Cleveland Rd,3,h,1150000,10.2,3,Monash City Council,-37.87229,145.10489
ASHWOOD,6 Leonard St,4,h,1460000,10.2,4,Monash City Council,-37.86686,145.11005
ASHWOOD,8 Rocklands Rd,3,h,1350000,10.2,3,Monash City Council,-37.86418,145.11086
ASHWOOD,22 Carlyle St,3,h,1554000,10.2,3,Monash City Council,-37.86131,145.09638
ASHWOOD,41 Closter Av,4,h,1850000,10.2,4,Monash City Council,-37.86491,145.09752
ASHWOOD,13 Maroondah Rd,5,h,1975000,10.2,5,Monash City Council,-37.86486,145.1113
ASHWOOD,457 Warrigal Rd,4,h,1185500,10.2,4,Monash City Council,-37.86164,145.09379
ASPENDALE,31 Mill St,4,h,1150000,21.5,4,Kingston City Council,-38.01468,145.09789
ASPENDALE,5/148 Nepean Hwy,3,t,805000,21.5,3,Kingston City Council,-38.02768,145.10187
ASPENDALE,14 Ebb St,3,h,970000,21.5,4,Kingston City Council,-38.01596,145.09932
ASPENDALE,4 Roycroft Av,4,h,1510000,21.5,4,Kingston City Council,-38.02848,145.10181
ASPENDALE,58 Station St,3,h,780000,21.5,3,Kingston City Council,-38.01908,145.09702
ASPENDALE,85 Nepean Hwy,3,h,1300000,21.5,3,Kingston City Council,-38.02094,145.09737
ASPENDALE,6 Foam St,4,h,1362000,21.5,4,Kingston City Council,-38.01695,145.09934
ASPENDALE,26 Station St,3,h,950000,21.5,3,Kingston City Council,-38.01516,145.09385
ASPENDALE,34 Albany Cr,3,h,1000000,21.5,3,Kingston City Council,-38.02357,145.10492
ASPENDALE,48 Iluka Av,3,h,830000,21.5,3,Kingston City Council,-38.02493,145.1101
ASPENDALE,65 Albany Cr,3,h,1070000,21.5,3,Kingston City Council,-38.02452,145.10695
ASPENDALE,11B Foam St,3,t,1095000,21.5,3,Kingston City Council,-38.01646,145.09967
ASPENDALE,2 Second Av,3,h,960000,21.5,3,Kingston City Council,-38.0311,145.10529
ASPENDALE,3 Wanda Ct,4,h,940000,21.5,4,Kingston City Council,-38.02416,145.11053
ASPENDALE GARDENS,1 Wildoer Dr,3,h,951000,21.5,3,Kingston City Council,-38.02608,145.12784
ASPENDALE GARDENS,12 Pacific Dr,4,h,840000,21.5,4,Kingston City Council,-38.01958,145.12356
ASPENDALE GARDENS,13 Bianca Dr,3,h,880000,21.5,3,Kingston City Council,-38.01909,145.1125
ASPENDALE GARDENS,14 Chris Ct,3,h,870000,21.5,3,Kingston City Council,-38.02105,145.11982
ASPENDALE GARDENS,8 Hilda Mw,4,h,910000,21.5,4,Kingston City Council,-38.0282,145.12854
ASPENDALE GARDENS,3 Rochelle Ct,4,h,867500,21.5,4,Kingston City Council,-38.02704,145.1291
ASPENDALE GARDENS,4 June Pl,3,h,1015000,21.5,3,Kingston City Council,-38.02454,145.1156
ASPENDALE GARDENS,44 Sutherland Av,3,h,811250,21.5,3,Kingston City Council,-38.01663,145.11742
ASPENDALE GARDENS,8 Jackie Ct,4,h,1110500,21.5,4,Kingston City Council,-38.01882,145.12407
ASPENDALE GARDENS,20 Tatyoon Cl,3,h,750000,21.5,3,Kingston City Council,-38.017,145.10766
BONBEACH,1/23 Bondi Rd,3,h,836000,27,3,Kingston City Council,-38.06257,145.1226
BONBEACH,16B Newberry Av,4,t,1830000,27,4,Kingston City Council,-38.06189,145.11766
BONBEACH,37 Mernda Av,3,h,965000,27,3,Kingston City Council,-38.06866,145.12677
BONBEACH,14 Haldane St,3,h,920000,27,3,Kingston City Council,-38.06688,145.12398
BONBEACH,44 Ilma Gr,3,h,917500,27,3,Kingston City Council,-38.06791,145.12759
BONBEACH,69 Mascot Av,4,h,1501000,27,4,Kingston City Council,-38.06923,145.1278
BONBEACH,2 Royal Rd,3,h,1031000,27,3,Kingston City Council,-38.06087,145.12686
BONBEACH,19 Brixton St,4,h,1120000,27,4,Kingston City Council,-38.0644,145.1243
BONBEACH,22 Cirrus St,4,h,1050000,27,4,Kingston City Council,-38.06566,145.12478
BOTANIC RIDGE,15 Bellis Cct,4,h,750000,34.7,4,Casey City Council,-38.1452,145.2512
CARRUM,18 Church Rd,4,h,965000,31.2,4,Kingston City Council,-38.07921,145.12761
CARRUM,14 Parkside Bvd,2,u,529000,31.2,2,Kingston City Council,-38.07938,145.13227
CARRUM,5 Rigby St,3,h,881000,31.2,3,Kingston City Council,-38.07405,145.13211
CARRUM,3 Walkers Rd,4,h,845000,31.2,4,Kingston City Council,-38.0781,145.12429
CARRUM,3/13 Graham Rd,3,u,590000,31.2,3,Kingston City Council,-38.07483,145.13133
CARRUM,2/10 Millicent Av,3,u,687500,31.2,3,Kingston City Council,-38.07509,145.12965
CARRUM,20 Parkside Bvd,2,t,495000,31.2,2,Kingston City Council,-38.0796,145.13272
CARRUM,15A Riversdale Av,3,h,825000,31.2,3,Kingston City Council,-38.07196,145.13036
CARRUM,29 Whatley St,3,h,625000,31.2,3,Kingston City Council,-38.07912,145.12965
CARRUM,37 Westley St,3,h,712500,31.2,3,Kingston City Council,-38.0723,145.1319
CARRUM,18 Church Rd,4,h,980000,31.2,4,Kingston City Council,-38.0792,145.1276
CARRUM DOWNS,5 Atkins Ct,3,h,500000,34.9,3,Frankston City Council,-38.09111,145.19084
CARRUM DOWNS,11 Goshawk Ct,3,h,561000,34.9,3,Frankston City Council,-38.10709,145.1744
CARRUM DOWNS,38 Trafford Rd,4,h,525000,34.9,4,Frankston City Council,-38.08981,145.17353
CARRUM DOWNS,40 Whimbrel Cr,4,h,647000,34.9,4,Frankston City Council,-38.10984,145.17062
CARRUM DOWNS,9 Talba Ct,3,h,552500,34.9,3,Frankston City Council,-38.11471,145.18248
CARRUM DOWNS,10A William Rd,2,h,403500,34.9,2,Frankston City Council,-38.09665,145.17646
CARRUM DOWNS,9 Pinewood Dr,3,h,480000,34.9,3,Frankston City Council,-38.09798,145.18737
CARRUM DOWNS,40 Brumbys Rd,4,h,609000,34.9,4,Frankston City Council,-38.09601,145.19633
CARRUM DOWNS,60 Carrington Cr,3,h,578000,34.9,3,Frankston City Council,-38.1046,145.19339
CARRUM DOWNS,1 Broderick Rd,4,h,546000,34.9,3,Frankston City Council,-38.10346,145.18159
CARRUM DOWNS,2 Donna St,3,h,532000,34.9,3,Frankston City Council,-38.10429,145.17178
CARRUM DOWNS,2 Tasman Ct,3,h,615000,34.9,3,Frankston City Council,-38.09187,145.19463
CARRUM DOWNS,15 Marcella Pl,3,h,530000,34.9,3,Frankston City Council,-38.1106,145.18978
CARRUM DOWNS,8 Kieran Ct,3,h,560000,34.9,3,Frankston City Council,-38.0904,145.1819
CARRUM DOWNS,21 Hellenic Ct,4,h,562500,34.9,4,Frankston City Council,-38.11464,145.19301
CARRUM DOWNS,6 Paras Dr,3,h,510000,34.9,3,Frankston City Council,-38.11564,145.19023
CARRUM DOWNS,13 Rundle Dr,3,h,550000,34.9,3,Frankston City Council,-38.09113,145.19244
CARRUM DOWNS,27 Arcadia St,3,h,631000,34.9,3,Frankston City Council,-38.11395,145.18924
CHADSTONE,3/10 Euroka St,3,t,752000,13.6,3,Monash City Council,-37.8786,145.1015
CHADSTONE,16 Moroney Dr,4,h,1507000,13.6,4,Monash City Council,-37.8891,145.1002
CHADSTONE,8B Moorong St,4,h,890000,13.6,4,Monash City Council,-37.8801,145.1051
CHADSTONE,2/44 Railway Pde S,3,u,700000,13.6,2,Monash City Council,-37.8738,145.1054
CHADSTONE,23 Thurloo St,3,h,1000000,13.6,3,Monash City Council,-37.8784,145.0958
CHADSTONE,2/4 Lenna Ct,3,t,865000,13.6,3,Monash City Council,-37.8796,145.1044
CHADSTONE,2/12 Moorong St,4,t,1042500,13.6,4,Monash City Council,-37.8805,145.105
CHADSTONE,5 Bullarto St,2,h,1002000,13.6,2,Monash City Council,-37.8792,145.0948
CHADSTONE,15 Aloomba St,3,h,992000,13.6,3,Monash City Council,-37.8805,145.0978
CHADSTONE,4/5 Rae St,3,h,650000,13.6,3,Monash City Council,-37.8859,145.0934
CHADSTONE,1/19 Warrina St,4,t,965000,13.6,4,Monash City Council,-37.8742,145.105
CHADSTONE,3 Yambie La,3,h,920000,13.6,4,Monash City Council,-37.8837,145.106
CHADSTONE,7 Inga Ct,3,h,1301000,13.6,3,Monash City Council,-37.8812,145.105
CHADSTONE,2 Fitzroy Gr,4,h,1415500,13.6,3,Monash City Council,-37.8738,145.1095
CHADSTONE,1/32 Kelly St,2,h,705000,13.6,2,Monash City Council,-37.8859,145.0979
CHADSTONE,4 Jacana Ct,4,h,1260000,13.6,4,Monash City Council,-37.8845,145.1027
CHADSTONE,15 Grandview Rd,3,h,1460000,13.6,3,Monash City Council,-37.8746,145.1071
CHADSTONE,23 Jacana St,3,h,1000000,13.6,3,Monash City Council,-37.8838,145.102
CHADSTONE,2/2 Robert St,3,t,845000,13.6,3,Monash City Council,-37.8824,145.1042
CHADSTONE,2/19 Thurloo St,4,t,881000,13.6,3,Monash City Council,-37.8781,145.0955
CHADSTONE,4/6 Kelly St,3,u,701000,13.6,3,Monash City Council,-37.8856,145.0934
CHADSTONE,1/29 Atkinson St,3,t,905000,13.6,3,Monash City Council,-37.886,145.096
CHADSTONE,2/13 Batesford Rd,3,u,988000,13.6,3,Monash City Council,-37.8755,145.0954
CHADSTONE,2/16 Westbrook St,3,t,820000,13.6,3,Monash City Council,-37.8827,145.0942
CHADSTONE,8 Bosco St,3,h,1080000,11.7,3,Monash City Council,-37.88246,145.10046
CHADSTONE,3/3 Inga Ct,2,h,674000,11.7,2,Monash City Council,-37.88093,145.10574
CHADSTONE,38 Jacana St,3,h,740000,11.7,3,Monash City Council,-37.88486,145.10203
CHADSTONE,2/15 Atkinson St,2,h,510000,11.7,2,Monash City Council,-37.88321,145.09594
CHADSTONE,1/11 Hiscock St,3,t,930000,11.7,3,Monash City Council,-37.88289,145.09871
CHADSTONE,1/1 Dundee Av,4,h,995000,11.7,4,Monash City Council,-37.88658,145.09297
CHADSTONE,16 Jacana Ct,5,h,1310000,11.7,5,Monash City Council,-37.88478,145.10244
CHADSTONE,1/3 Evans St,3,u,960000,11.7,3,Monash City Council,-37.88304,145.0969
CHADSTONE,3/22 Stapley Cr,3,t,977500,11.7,3,Monash City Council,-37.88923,145.0964
CHADSTONE,1/6 Crana Ct,5,t,1050000,11.7,5,Monash City Council,-37.87883,145.09741
CHADSTONE,23 Oakpark Dr,3,h,990000,11.7,3,Monash City Council,-37.88932,145.10299
CHADSTONE,139 Power Av,3,h,882000,11.7,3,Monash City Council,-37.8794,145.10616
CHADSTONE,6 Celia Ct,3,t,816000,11.7,3,Monash City Council,-37.88505,145.10592
CHADSTONE,11 Woonah St,3,h,1025000,11.7,3,Monash City Council,-37.87442,145.09528
CHADSTONE,1 Tandara Ct,4,h,1150000,11.7,4,Monash City Council,-37.8744,145.0995
CHADSTONE,21 Binalong Av,3,h,1120000,11.7,3,Monash City Council,-37.87518,145.10344
CHADSTONE,9 Binalong Av,3,h,1300000,11.7,3,Monash City Council,-37.87456,145.1027
CHADSTONE,4 Glenora St,3,h,960000,11.7,3,Monash City Council,-37.87986,145.10733
CHADSTONE,15 Gateway Cl,3,t,765000,11.7,3,Monash City Council,-37.88267,145.10823
CHELSEA,5/11 Bath St,2,u,525000,27,2,Kingston City Council,-38.05304,145.1151
CHELSEA,30 Mulkarra Dr,3,h,840000,27,3,Kingston City Council,-38.04683,145.1261
CHELSEA,1/15 Cross Rd,2,u,639000,27,2,Kingston City Council,-38.04602,145.1191
CHELSEA,364 Station St,3,h,750000,27,3,Kingston City Council,-38.05635,145.11836
CHELSEA,33 Baxter Av,3,h,875000,27,3,Kingston City Council,-38.04666,145.12354
CHELSEA,37 Woodbine Gr,3,h,820000,27,3,Kingston City Council,-38.05339,145.12242
CHELSEA,7 Embankment Gr,3,h,1417000,27,3,Kingston City Council,-38.04851,145.11612
CHELSEA,7 Chelbara Ct,2,h,501000,27,2,Kingston City Council,-38.0455,145.1208
CHELSEA,1 Collins Ct,3,h,911000,27,3,Kingston City Council,-38.04082,145.1249
CHELSEA,12 Bath St,3,h,1870000,27,3,Kingston City Council,-38.05213,145.11429
CHELSEA HEIGHTS,17 Amaroo Dr,4,h,732000,27,4,Kingston City Council,-38.03526,145.13286
CHELSEA HEIGHTS,11 Rebecca Cl,5,h,835500,27,5,Kingston City Council,-38.03335,145.13212
CHELSEA HEIGHTS,3 Third Av,3,h,710000,27,3,Kingston City Council,-38.04513,145.1346
CHELSEA HEIGHTS,7 Brolga Av,3,h,725000,27,3,Kingston City Council,-38.04922,145.13904
CHELSEA HEIGHTS,5 Anton Ct,3,h,715000,27,3,Kingston City Council,-38.04645,145.13506
CHELSEA HEIGHTS,10 Tikanti Ct,3,h,720000,27,3,Kingston City Council,-38.03622,145.13206
CHELSEA HEIGHTS,7 Perovic Pl,2,u,580000,27,2,Kingston City Council,-38.0436,145.1305
CHELSEA HEIGHTS,18 Second Av,4,h,872500,27,4,Kingston City Council,-38.0447,145.1327
CHELSEA HEIGHTS,34 Third Av,3,h,745500,27,3,Kingston City Council,-38.04333,145.13326
CHELSEA HEIGHTS,250 Wells Rd,4,h,686000,27,4,Kingston City Council,-38.04923,145.14209
CHELSEA HEIGHTS,25 Talab Ct,4,h,835000,27,4,Kingston City Council,-38.05013,145.14211
CHELTENHAM,4 Cronin Ct,5,h,1140000,17.9,5,Bayside City Council,-37.96763,145.07898
CHELTENHAM,2/14 Jack Rd,3,t,950000,17.9,3,Bayside City Council,-37.96062,145.04296
CHELTENHAM,4/3 MacKenzie St,2,u,425000,17.9,2,Bayside City Council,-37.97143,145.05219
CHELTENHAM,105 Wilson St,3,h,1116000,17.9,3,Bayside City Council,-37.95629,145.06031
CHELTENHAM,1/31 Cavanagh St,2,t,745000,17.9,2,Bayside City Council,-37.96342,145.06516
CHELTENHAM,19 Shipston Rd,3,h,1240000,17.9,3,Bayside City Council,-37.97161,145.07036
CHELTENHAM,4/59 Wilson St,2,u,850000,17.9,2,Bayside City Council,-37.96021,145.05938
CHELTENHAM,23 Alden Ct,4,h,1120000,17.9,4,Bayside City Council,-37.97245,145.07566
CHELTENHAM,88 Bernard St,3,h,1051000,17.9,3,Bayside City Council,-37.95416,145.06781
CHELTENHAM,28 Regent Pde,3,h,1170000,17.9,3,Bayside City Council,-37.95668,145.06458
CHELTENHAM,2A Walker Gr,3,t,861000,17.9,3,Bayside City Council,-37.96836,145.06452
CHELTENHAM,20/310 Warrigal Rd,2,u,535000,17.9,2,Bayside City Council,-37.96597,145.07535
CHELTENHAM,4 Allnutt Ct,3,h,800000,17.9,3,Bayside City Council,-37.96877,145.07484
CHELTENHAM,17 Barclay Dr,3,h,877000,17.9,3,Bayside City Council,-37.96257,145.08252
CHELTENHAM,31 Eden St,4,h,1255000,17.9,4,Bayside City Council,-37.97145,145.06132
CHELTENHAM,44 Eunice Dr,3,h,900000,17.9,3,Bayside City Council,-37.96388,145.07807
CHELTENHAM,14 Tuck St,3,h,1199000,17.9,3,Bayside City Council,-37.97069,145.05928
CHELTENHAM,61 Weatherall Rd,4,h,1500000,17.9,4,Bayside City Council,-37.97076,145.04186
CHELTENHAM,1 Dewrang St,3,h,1010000,17.9,3,Bayside City Council,-37.95746,145.06706
CHELTENHAM,1/21 Kayden St,2,u,601000,17.9,2,Bayside City Council,-37.95745,145.07219
CHELTENHAM,6 Tilley St,3,h,1145000,17.9,3,Bayside City Council,-37.96911,145.07271
CHELTENHAM,37 Woodland Dr,3,h,755000,17.9,3,Bayside City Council,-37.95342,145.06026
CHELTENHAM,4 Brownfield St,3,h,1275000,17.9,3,Bayside City Council,-37.96791,145.06241
CHELTENHAM,10 Jack Rd,4,h,1200000,17.9,4,Bayside City Council,-37.96098,145.04275
CHELTENHAM,67 Oak Av,3,h,1095000,17.9,3,Bayside City Council,-37.9746,145.07207
CHELTENHAM,10 Cronin Ct,4,h,1138000,17.9,4,Bayside City Council,-37.96768,145.07966
CHELTENHAM,30 Nancy St,3,h,1050000,17.9,3,Bayside City Council,-37.97223,145.07895
CHELTENHAM,22 Cavanagh St,4,h,1740000,17.9,4,Bayside City Council,-37.9641,145.06547
CHELTENHAM,4/163 Centre Dandenong Rd,2,u,560000,17.9,2,Bayside City Council,-37.96718,145.07681
CHELTENHAM,3/33 Sunray Av,2,t,751000,17.9,2,Bayside City Council,-37.96304,145.06421
CHELTENHAM,4 Warren Rd,3,h,1295000,17.9,3,Bayside City Council,-37.95499,145.06775
CHELTENHAM,2 Barclay Dr,3,h,948000,17.9,3,Bayside City Council,-37.96258,145.08038
CHELTENHAM,54 Benkel Av,4,h,920000,17.9,4,Bayside City Council,-37.96531,145.08502
CHELTENHAM,28 Elliott St,4,h,1165000,17.9,4,Bayside City Council,-37.9727,145.07016
CHELTENHAM,38 Fairview Av,3,h,1201000,17.9,3,Bayside City Council,-37.95569,145.06588
CHELTENHAM,39 Farm Rd,3,h,910000,17.9,3,Bayside City Council,-37.96306,145.0803
CHELTENHAM,45 Voltri St,4,h,1200000,17.9,4,Bayside City Council,-37.97531,145.07943
CHELTENHAM,2/41 Harpley St,2,t,955000,17.9,2,Bayside City Council,-37.97342,145.07201
CHELTENHAM,6 Shadwell St,3,h,1230000,17.9,3,Bayside City Council,-37.96402,145.06658
CHELTENHAM,5 Alice St,3,h,1100000,17.9,3,Bayside City Council,-37.97462,145.07906
CHELTENHAM,139 Park Rd,3,h,1015000,17.9,3,Bayside City Council,-37.96488,145.05276
CHELTENHAM,53 Primrose Av,3,t,795000,17.9,3,Bayside City Council,-37.95656,145.06926
CHELTENHAM,72 Wilson St,3,h,1160000,17.9,3,Bayside City Council,-37.9583,145.06041
CHELTENHAM,53 Wingrove St,4,h,1160000,17.9,4,Bayside City Council,-37.95272,145.06573
CHELTENHAM,78 Albenca St,5,h,1300000,17.9,5,Bayside City Council,-37.97404,145.07541
CHELTENHAM,42 Snowdon Dr,3,h,975000,17.9,3,Bayside City Council,-37.97334,145.08192
CHELTENHAM,5 Hannah St,3,h,975000,17.9,3,Bayside City Council,-37.95683,145.07184
CHELTENHAM,17 Keamy Av,3,h,1288000,17.9,3,Bayside City Council,-37.9562,145.05946
CHELTENHAM,15 Norland St,3,h,1323000,17.9,3,Bayside City Council,-37.96779,145.06894
CHELTENHAM,32a Swinden Av,3,u,990000,17.9,3,Bayside City Council,-37.9717,145.06601
CHELTENHAM,8 Brownfield St,3,h,1255000,17.9,3,Bayside City Council,-37.96763,145.06247
CHELTENHAM,65 Nancy St,3,h,860000,17.9,3,Bayside City Council,-37.97122,145.08125
CHELTENHAM,30 Nancy St,3,h,965000,17.9,3,Bayside City Council,-37.97223,145.07895
CHELTENHAM,2 Cameron St,4,h,1475000,17.9,4,Bayside City Council,-37.96928,145.05851
CHELTENHAM,178 Charman Rd,3,h,1250000,17.9,3,Bayside City Council,-37.97307,145.05446
CHELTENHAM,1 Irene Ct,4,h,1130000,17.9,4,Bayside City Council,-37.96504,145.07194
CHELTENHAM,32 Primrose Av,3,t,700000,17.9,3,Bayside City Council,-37.95671,145.0686
CHELTENHAM,7 Craig Ct,4,h,900000,17.9,4,Bayside City Council,-37.9667,145.0796
CHELTENHAM,4 Courtney St,5,h,1495000,17.9,5,Bayside City Council,-37.9695,145.0593
CHELTENHAM,9 Allnutt Ct,3,h,800000,17.9,3,Bayside City Council,-37.9685,145.07538
CHELTENHAM,1 Clendon Ct,3,h,950000,17.9,3,Bayside City Council,-37.95187,145.05844
CHELTENHAM,33 Merton Cl,3,h,888000,17.9,3,Bayside City Council,-37.96748,145.07105
CHELTENHAM,49 Argus St,3,h,1800000,17.9,3,Bayside City Council,-37.95867,145.06315
CHELTENHAM,8 Eila Cl,3,h,1070000,17.9,3,Bayside City Council,-37.96554,145.07273
CHELTENHAM,9 Eunice Dr,5,h,950000,17.9,5,Bayside City Council,-37.96684,145.07724
CHELTENHAM,18 Regent Pde,4,h,1120000,17.9,4,Bayside City Council,-37.9574,145.06446
CHELTENHAM,4 Shelford Ct,4,h,1150000,17.9,4,Bayside City Council,-37.96841,145.07175
CHELTENHAM,10 Jells Rd,4,h,1410000,17.9,4,Bayside City Council,-37.96735,145.08028
CHELTENHAM,14 Leon St,4,h,1280000,17.9,4,Bayside City Council,-37.96072,145.06125
CHELTENHAM,24 Willow Av,4,h,900000,17.9,4,Bayside City Council,-37.96961,145.08175
CHELTENHAM,25 Monterey Dr,3,t,875000,17.9,3,Bayside City Council,-37.96066,145.04109
CHELTENHAM,11 Stuart Av,3,h,1305000,17.9,3,Bayside City Council,-37.96027,145.0442
CHELTENHAM,7 Fir Gr,3,t,1150000,17.9,3,Bayside City Council,-37.96141,145.0484
CHELTENHAM,4A Luxmoore St,4,h,1150000,17.9,4,Bayside City Council,-37.95947,145.04364
CHELTENHAM,6 Monbulk Ct,4,h,1185000,17.9,4,Bayside City Council,-37.96784,145.08212
CHELTENHAM,46 Snowdon Dr,5,h,1360000,17.9,5,Bayside City Council,-37.97306,145.08198
CHELTENHAM,3 Axelton St,4,h,1270000,17.9,4,Bayside City Council,-37.96799,145.0632
CHELTENHAM,53a Cavanagh St,3,t,1111000,17.9,3,Bayside City Council,-37.96116,145.06561
CHELTENHAM,20 Eagland Rd,3,h,887500,17.9,3,Bayside City Council,-37.9717,145.07574
CHELTENHAM,9 Oak Av,3,h,1291000,17.9,3,Bayside City Council,-37.97388,145.06623
CHELTENHAM,21 Parnell St,3,h,1200000,17.9,3,Bayside City Council,-37.95502,145.06185
CHELTENHAM,22 Weymar St,5,h,1350000,17.9,5,Bayside City Council,-37.96234,145.06218
CHELTENHAM,40 Hibiscus Av,4,h,1180000,17.9,4,Bayside City Council,-37.96963,145.08267
CHELTENHAM,7 Joami St,2,t,880000,17.9,2,Bayside City Council,-37.95746,145.06888
CHELTENHAM,2 Primrose Av,3,t,790000,17.9,3,Bayside City Council,-37.95653,145.06708
CLARINDA,10 Boree Av,4,h,1241000,17.5,4,Kingston City Council,-37.92801,145.1057
CLARINDA,8 Elliminya Ct,5,h,976000,17.5,5,Kingston City Council,-37.93759,145.10028
CLARINDA,13 Dyer Ct,5,h,883300,17.5,5,Kingston City Council,-37.94452,145.11108
